,Name,City,Country,IATA,Latitude,Longitude,Altitude,Type
622,Ubatuba Airport,Ubatuba,Brazil,UBT,-23.44109916687012,-45.07559967041016,13.0,airport
623,Gov Joao Durval Carneiro Airport,Feira de Santana,Brazil,FEC,-12.203056,-38.906667,768.0,airport
624,Jumandy Airport,Tena,Ecuador,TNW,-1.059722,-77.583333,1234.0,airport
625,Morro da Urca Heliport,Rio de Janeiro,Brazil,\N,-22.95166778564453,-43.16583251953125,692.0,airport
626,Paracatu Airport,Paracatu,Brazil,\N,-17.242599487304688,-46.88309860229492,2359.0,airport
627,Das Bandeirinhas Airport,Conselheiro Lafaiete,Brazil,\N,-20.738585,-43.797444,3478.0,airport
628,Janaúba Airport,Janauba,Brazil,\N,-15.732,-43.323102,1732.0,airport
629,Juscelino Kubitscheck Airport,Teofilo Otoni,Brazil,TFL,-17.89229965209961,-41.51359939575195,1572.0,airport
630,Cristiano Ferreira Varella Airport,Muriae,Brazil,\N,-21.126100540161133,-42.39440155029297,886.0,airport
631,Parati Airport,Paraty,Brazil,\N,-23.2243995667,-44.720298767100005,10.0,airport
632,Umberto Modiano Airport,Buzios,Brazil,BZC,-22.770999908447266,-41.96289825439453,10.0,airport
633,Angra dos Reis Airport,Angra dos Reis,Brazil,\N,-22.97529983520508,-44.30709838867188,10.0,airport
634,Itaperuna Airport,Itaperuna,Brazil,ITP,-21.2192993164,-41.8759002686,410.0,airport
635,Maricá Airport,Marica,Brazil,\N,-22.9195,-42.830898,13.0,airport
636,Resende Airport,Resende,Brazil,REZ,-22.4785003662,-44.4803009033,1320.0,airport
637,Saquarema Airport,Saquarema,Brazil,\N,-22.92972183227539,-42.50694274902344,26.0,airport
638,Aripuanã Airport,Aripuana,Brazil,AIR,-10.188278,-59.457273,623.0,airport
639,Juruena Airport,Juruena,Brazil,JRN,-10.305832862854004,-58.489444732666016,525.0,airport
640,Juína Airport,Juina,Brazil,JIA,-11.419444,-58.701668,1083.0,airport
641,Vila Rica Airport,Vila Rica,Brazil,VLP,-9.979443550109863,-51.1422233581543,892.0,airport
642,Inácio Luís do Nascimento Airport,Juara,Brazil,JUA,-11.2966,-57.5495,870.0,airport
643,Cáceres Airport,Caceres,Brazil,CCX,-16.04360008239746,-57.62990188598633,492.0,airport
644,Posto Leonardo Vilas Boas Airport,Chapada dos Guimaraes,Brazil,\N,-12.19833278656006,-53.38166809082031,1083.0,airport
645,Tangará da Serra Airport,Tangara da Serra,Brazil,TGQ,-14.6619997025,-57.4435005188,1460.0,airport
646,Canarana Airport,Canarana,Brazil,CQA,-13.574443817138672,-52.27055740356445,1314.0,airport
647,Vila Bela da Santíssima Trindade Airport,Vila Bela da Santissima Trindade ,Brazil,MTG,-14.9942,-59.9458,660.0,airport
648,Sobral Airport,Sobral,Brazil,\N,-3.67889,-40.336802,210.0,airport
649,Arapiraca Airport,Arapiraca,Brazil,APQ,-9.775360107421877,-36.62919998168945,886.0,airport
650,Cangapara Airport,Floriano,Brazil,FLB,-6.8463897705078125,-43.07730102539063,689.0,airport
651,Picos Airport,Picos,Brazil,PCS,-7.0620598793029785,-41.52370071411133,1050.0,airport
652,Cerro Largo International Airport,Melo,Uruguay,MLZ,-32.33789825439453,-54.21670150756836,364.0,airport
653,Tydeo Larre Borges Airport,Paysandu,Uruguay,PDU,-32.36330032348633,-58.0619010925293,138.0,airport
654,Artigas International Airport,Artigas ,Uruguay,ATI,-30.40069961547852,-56.50790023803711,410.0,airport
655,Francisco de Miranda Airport,Caracas,Venezuela,\N,10.4850330353,-66.8435134888,2739.0,airport
656,São Miguel do Oeste Airport,Sao Miguel do Oeste,Brazil,SQX,-26.78160095214844,-53.50350189208984,2180.0,airport
657,San Sebastián Airport,San Sebastian,Chile,\N,-53.31700134277344,-68.6500015258789,50.0,airport
658,Tolwin Observatory Airport,Tolhuin,Argentina,\N,-54.521900177,-67.1989974976,90.0,airport
659,Las Dunas Airport,Ica,Peru,\N,-14.036111,-75.759722,1358.0,airport
660,Presidente Néstor Kirchner Regionsl Airport,Villa Maria,Argentina,\N,-32.3201,-63.22663,670.0,airport
661,Chafei Amsei Airport,Barretos,Brazil,BAT,-20.584499359131,-48.594100952148,1898.0,airport
662,Base de Aviação de Taubaté Airport,Taubaté,Brazil,QHP,-23.04010009765625,-45.51599884033203,1908.0,airport
663,Barriles Airport,Tocopilla,Chile,TOQ,-22.14109992980957,-70.06289672851562,3475.0,airport
664,Schroeder's field,Cochrane,Chile,\N,35.071718,-91.738801,0.0,airport
665,Chañaral Airport,Chañaral,Chile,CNR,-26.332500457763672,-70.6072998046875,97.0,airport
666,Panguilemo Airport,Talca,Chile,TLX,-35.37779998779297,-71.60169982910156,371.0,airport
667,Victoria Airport,Victoria,Chile,ZIC,-38.245601654052734,-72.34860229492188,1148.0,airport
668,Las Breas Airport,Taltal,Chile,TTC,-25.56430053710937,-70.37590026855469,2580.0,airport
669,Gomez Nino Apiay Air Base,Apiay,Colombia,API,4.07607,-73.5627,1207.0,airport
670,Coveñas Airport,Coveñas,Colombia,CVE,9.40092,-75.6913,31.0,airport
671,German Olano Air Base,La Dorada,Colombia,PAL,5.48361,-74.6574,566.0,airport
672,Paz De Ariporo Airport,Paz De Ariporo,Colombia,PZA,5.87615,-71.8866,900.0,airport
673,Tunja Airport,Tunja,Colombia,\N,5.54138,-73.3445,8940.0,airport
674,Tres Esquinas Air Base,Tres Esquinas,Colombia,TQS,0.7459,-75.234,585.0,airport
675,Marandúa Air Base,Marandúa,Colombia,\N,5.52448,-68.6856,285.0,airport
676,Juan Simons Vela Airport,Rioja,Peru,RIJ,-6.067860126495361,-77.16000366210938,2707.0,airport
677,Shumba Airport,Jaén,Peru,JAE,-5.59248,-78.774002,2477.0,airport
678,Metropolitano Airport,,Venezuela,\N,10.133169174194336,-66.78782653808594,574.0,airport
679,Itapiranga Airport,Itapiranga,Brazil,\N,-27.14249992370605,-53.68579864501953,1247.0,airport
680,Aguas Calientes Airport,Aguas Calientes,Peru,\N,-8.833330154418945,-74.68329620361328,9840.0,airport
681,Jacarepaguá - Roberto Marinho Airport,Rio de Janeiro,Brazil,\N,-22.987499,-43.369999,10.0,airport
682,Hacaritama Airport,Aguachica,Colombia,\N,8.247,-73.5814,545.0,airport
683,Helisul I Heliport,Foz do Iguassu,Brazil,\N,-25.604167938232425,-54.49361038208008,732.0,airport
684,Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,Brazil,JJG,-28.6753,-49.0596,120.0,airport
685,Fazenda Vaticano Airport,Cruz,Brazil,\N,-21.294443,-56.11861,1050.0,airport
686,9 de Maio - Teixeira de Freitas Airport,Teixeira de Freitas,Brazil,TXF,-17.524499893188,-39.66849899292,344.0,airport
687,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Ponta Grossa,Brazil,PGZ,-25.1847,-50.1441,2588.0,airport
688,Olhos D`água Airport,Agua Boa,Brazil,\N,-14.019444,-52.152222,1506.0,airport
689,Novo Progresso Airport,Novo Progresso,Brazil,NPR,-7.125833,-55.400833,794.0,airport
690,Adolino Bedin Regional Airport,Sorriso,Brazil,SMT,-12.479177,-55.672341,1266.0,airport
691,Serra da Capivara Airport,Sao Raimundo Nonato,Brazil,\N,-9.082778,-42.644444,1362.0,airport
692,Encarnación Airport,Encarnacion,Paraguay,ENO,-27.227366,-55.837495,659.0,airport
